,,,MÔ TẢ SẢN PHẨM,,,,,,,THÔNG TIN ĐẶT HÀNG,,,,,,THÔNG TIN NHẬP KHO,,,TRẠNG THÁI GIAO HÀNG,,,THEO DÕI TIẾN ĐỘ SẢN XUẤT,,,,,,,
STT,PHÂN LOẠI ĐH,PHÂN CẤP SP,TÊN SẢN PHẨM,HÌNH ẢNH,ART/ MÃ SP,MÀU,MÃ ĐƠN ĐẶT HÀNG,ĐƠN GIÁ,TỔNG GIÁ TRỊ,SL ĐẶT HÀNG (pcs),NHÀ MÁY,TIME LINE NHẬP KHO,TUẦN,TG GH/ KIỂM FINAL,NGÀY NHẬP KHO DỰ KIẾN,NGÀY GIAO THỰC TẾ,SL NHẬP KHO/ Thực tế,% TIẾN ĐỘ NHẬP HÀNG,TRẠNG THÁI GIAO HÀNG,TRẠNG THÁI ĐƠN HÀNG,GHI CHÚ ĐƠN HÀNG,Duyệt vải,Duyệt Bo,Trạng thái đồng bộ SX,Ngày lên chuyền,Ngày dự kiến hoàn tất,KQ FINAL,VẤN ĐỀ,Tuần
64,RESTOCK,CHỦ LỰC,JEAN STRAIGHT,,PO216,XANH NHẠT,64_PO216_XANH NHẠT,180.000,360.000.000,2.000,LC,Tháng 3,Tuần 1,03/03/2026,04/03/2026,03/03/2026,1988,99%,Đúng hạn,Hoàn thành,,,,,,,,,
65,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,ĐEN,65_PO166_ĐEN,127.440,63.720.000,500,AT,Tháng 3,Tuần 1,02/03/2026,03/03/2026,02/03/2026,391,78%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
66,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,TRẮNG,66_PO166_TRẮNG,127.440,63.720.000,500,AT,Tháng 3,Tuần 1,02/03/2026,03/03/2026,02/03/2026,451,90%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
68,RESTOCK,DUY TRÌ,CLASSIC DIAMOND V2,,PO276,BE NHẠT,68_PO276_BE NHẠT,124.200,111.780.000,900,AT,Tháng 3,Tuần 1,03/03/2026,04/03/2026,03/03/2026,846,94%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
69,RESTOCK,CHỦ LỰC,CLASSIC DIAMOND,,PO215,NAVY,69_PO215_NAVY,117.000,58.500.000,500,AN,Tháng 4,Tuần 1,01/04/2026,02/04/2026,01/04/2026,486,97%,Đúng hạn,Hoàn thành,,,,,,,,,
70,RESTOCK,PHỄU,VỚ LOGO,,VO5,ĐEN,70_VO5_ĐEN,15.660,15.660.000,1.000,TT,Tháng 3,Tuần 2,13/03/2026,14/03/2026,13/03/2026,1081,"108,10%",Đúng hạn,Hoàn thành,,,,,,,,,
71,RESTOCK,PHỄU,VỚ LOGO,,VO5,TRẮNG,71_VO5_TRẮNG,15.660,15.660.000,1.000,TT,Tháng 3,Tuần 2,13/03/2026,14/03/2026,13/03/2026,1010,"101,00%",Đúng hạn,Hoàn thành,,,,,,,,,
72,NEW IN,NEWIN,NORF,,PO301,TRẮNG,72_PO301_TRẮNG,135.000,108.000.000,800,TLN,Tháng 4,Tuần 1,03/04/2026,04/04/2026,03/04/2026,799,"99,88%",Đúng hạn,Hoàn thành,,,,,,,,,
74,RESTOCK,CHỦ LỰC,TRAVIS,,PO98,NAVY,74_PO98_NAVY,124.200,62.100.000,500,AT,Tháng 4,Tuần 4,21/04/2026,22/04/2026,21/04/2026,491,"98,20%",Đúng hạn,Hoàn thành,,,,,,,,,
77,NEW IN,NEWIN,LINE,,PO303,NAVY,77_PO303_NAVY,139.320,111.456.000,800,AT,Tháng 4,Tuần 1,02/04/2026,03/04/2026,11/04/2026,798,100%,Trễ hạn,Hoàn thành,,,,,,,,,
78,NEW IN,NEWIN,TRAVIS,,PO98,CAFE,78_PO98_CAFE,125.280,100.224.000,800,AT,Tháng 4,Tuần 1,02/04/2026,03/04/2026,04/04/2026,772,"96,50%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
84,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,ĐEN,84_PO99_ĐEN,112.000,96.320.000,860,LC,Tháng 3,Tuần 4,26/03/2026,27/03/2026,28/03/2026,890,"103,49%",Đúng hạn,Hoàn thành,,,,,,,,,
85,RESTOCK,CHỦ LỰC,KAKI SD,,PO126,NÂU,85_PO126_NÂU,123.000,61.500.000,500,LC,Tháng 3,Tuần 4,26/03/2026,27/03/2026,28/03/2026,499,"99,80%",Đúng hạn,Hoàn thành,,,,,,,,,
86,RESTOCK,CHỦ LỰC,QUẦN TÂY LƯNG CHUN,,PO86,ĐEN,86_PO86_ĐEN,153.000,85.527.000,559,LC,Tháng 3,Tuần 4,26/03/2026,27/03/2026,28/03/2026,553,"98,93%",Đúng hạn,Hoàn thành,,,,,,,,,
90,RESTOCK,DUY TRÌ,CLASSIC DIAMOND V2,,PO276,ĐỎ NÂU,90_PO276_ĐỎ NÂU,128.520,102.816.000,800,AT,Tháng 4,Tuần 3,13/04/2026,14/04/2026,15/04/2026,649,"81,13%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
91,RESTOCK,DUY TRÌ,BASIC SYMBOL,,PO88,BE,91_PO88_BE,112.860,90.288.000,800,TLN,Tháng 4,Tuần 4,20/04/2026,21/04/2026,20/04/2026,787,"98,38%",Đúng hạn,Hoàn thành,,,,,,,,,
94,RESTOCK,DUY TRÌ,WICK,,PO226,BE ĐẬM,94_PO226_BE ĐẬM,126.576,101.260.800,800,TLN,Tháng 4,Tuần 3,16/04/2026,17/04/2026,17/04/2026,793,"99,13%",Đúng hạn,Hoàn thành,,,,,,,,,
